Row ID,Order ID,Order Date,Shipped Date,City,Country,Category,Sub-Category,Product ID,Product Name,Customer ID,Customer Name,Segment,Sales,Quantity,Discount,Profit,Region,State
1,CA-2016-152156,08-04-2016,13-04-2016,Henderson,United States,Furniture,Bookcases,FUR-BO-10001798,Bush Somerset Collection Bookcase,CG-12520,Claire Gute,Consumer,261.96,2,0,41.9136,South,Kentucky
2,CA-2016-152156,03-08-2014,08-08-2014,Henderson,United States,Furniture,Chairs,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",CG-12520,Claire Gute,Consumer,731.94,3,0,219.582,South,Kentucky
3,CA-2016-138688,10-12-2014,15-12-2014,Los Angeles,United States,Office Supplies,Labels,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,DV-13045,Darrin Van Huff,Corporate,14.62,2,0,6.8714,West,California
4,US-2015-108966,31-07-2015,31-07-2015,Fort Lauderdale,United States,Furniture,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,SO-20335,Sean O'Donnell,Consumer,957.5775,5,0.45,-383.031,South,Florida
5,US-2015-108966,08-12-2017,10-12-2017,Fort Lauderdale,United States,Office Supplies,Storage,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,SO-20335,Sean O'Donnell,Consumer,22.368,2,0.2,2.5164,South,Florida
6,CA-2014-115812,04-12-2016,05-12-2016,Los Angeles,United States,Furniture,Furnishings,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",BH-11710,Brosina Hoffman,Consumer,48.86,7,0,14.1694,West,California
7,CA-2014-115812,31-03-2017,02-04-2017,Los Angeles,United States,Office Supplies,Art,OFF-AR-10002833,Newell 322,BH-11710,Brosina Hoffman,Consumer,7.28,4,0,1.9656,West,California
8,CA-2014-115812,24-11-2016,26-11-2016,Los Angeles,United States,Technology,Phones,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,BH-11710,Brosina Hoffman,Consumer,907.152,6,0.2,90.7152,West,California
9,CA-2014-115812,24-11-2016,26-11-2016,Los Angeles,United States,Office Supplies,Binders,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,BH-11710,Brosina Hoffman,Consumer,18.504,3,0.2,5.7825,West,California
10,CA-2014-115812,09-08-2015,12-08-2015,Los Angeles,United States,Office Supplies,Appliances,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,BH-11710,Brosina Hoffman,Consumer,114.9,5,0,34.47,West,California
11,CA-2014-115812,13-07-2015,15-07-2015,Los Angeles,United States,Furniture,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,BH-11710,Brosina Hoffman,Consumer,1706.184,9,0.2,85.3092,West,California
12,CA-2014-115812,30-09-2014,04-10-2014,Los Angeles,United States,Technology,Phones,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,BH-11710,Brosina Hoffman,Consumer,911.424,4,0.2,68.3568,West,California
13,CA-2017-114412,23-06-2016,28-06-2016,Concord,United States,Office Supplies,Paper,OFF-PA-10002365,Xerox 1967,AA-10480,Andrew Allen,Consumer,15.552,3,0.2,5.4432,South,North Carolina
14,CA-2016-161389,20-11-2015,26-11-2015,Seattle,United States,Office Supplies,Binders,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,IM-15070,Irene Maddox,Consumer,407.976,3,0.2,132.5922,West,Washington
