Row ID,Order ID,Order Date,Ship Date,City,Country,Category,Sub-Category,Product ID,Product Name,Customer ID,Customer Name,Segment,Sales,Quantity,Discount,Profit
1,CA-2016-152156,11-08-2016,11-11-2016,Henderson,United States,Furniture,Bookcases,FUR-BO-10001798,Bush Somerset Collection Bookcase,CG-12520,Claire Gute,Consumer,261.96,2,0,41.9136
2,CA-2016-152156,11-08-2016,11-11-2016,Henderson,United States,Furniture,Chairs,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",CG-12520,Claire Gute,Consumer,731.94,3,0,219.582
3,CA-2016-138688,06-12-2016,6/16/2016,Los Angeles,United States,Office Supplies,Labels,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,DV-13045,Darrin Van Huff,Corporate,14.62,2,0,6.8714
4,US-2015-108966,10-11-2015,10/18/2015,Fort Lauderdale,United States,Furniture,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,SO-20335,Sean O'Donnell,Consumer,957.5775,5,0.45,-383.031
5,US-2015-108966,10-11-2015,10/18/2015,Fort Lauderdale,United States,Office Supplies,Storage,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,SO-20335,Sean O'Donnell,Consumer,22.368,2,0.2,2.5164
6,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Furniture,Furnishings,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",BH-11710,Brosina Hoffman,Consumer,48.86,7,0,14.1694
7,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Office Supplies,Art,OFF-AR-10002833,Newell 322,BH-11710,Brosina Hoffman,Consumer,7.28,4,0,1.9656
8,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Technology,Phones,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,BH-11710,Brosina Hoffman,Consumer,907.152,6,0.2,90.7152
9,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Office Supplies,Binders,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,BH-11710,Brosina Hoffman,Consumer,18.504,3,0.2,5.7825
10,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Office Supplies,Appliances,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,BH-11710,Brosina Hoffman,Consumer,114.9,5,0,34.47
11,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Furniture,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,BH-11710,Brosina Hoffman,Consumer,1706.184,9,0.2,85.3092
12,CA-2014-115812,06-09-2014,6/14/2014,Los Angeles,United States,Technology,Phones,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,BH-11710,Brosina Hoffman,Consumer,911.424,4,0.2,68.3568
13,CA-2017-114412,4-15-2017,4/20/2017,Concord,United States,Office Supplies,Paper,OFF-PA-10002365,Xerox 1967,AA-10480,Andrew Allen,Consumer,15.552,3,0.2,5.4432
14,CA-2016-161389,12-05-2016,12-10-2016,Seattle,United States,Office Supplies,Binders,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,IM-15070,Irene Maddox,Consumer,407.976,3,0.2,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,Fort Worth,United States,Office Supplies,Appliances,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",HP-14815,Harold Pawlan,Home Office,68.81,5,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,Fort Worth,United States,Office Supplies,Binders,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,HP-14815,Harold Pawlan,Home Office,2.544,3,0.8,-3.816
17,CA-2014-105893,11-11-2014,11/18/2014,Madison,United States,Office Supplies,Storage,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",PK-19075,Pete Kriz,Consumer,665.88,6,0,13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,West Jordan,United States,Office Supplies,Storage,OFF-ST-10000107,Fellowes Super Stor/Drawer,AG-10270,Alejandro Grove,Consumer,55.5,2,0,9.99
19,CA-2014-143336,8/27/2014,09-01-2014,San Francisco,United States,Office Supplies,Art,OFF-AR-10003056,Newell 341,ZD-21925,Zuschuss Donatelli,Consumer,8.56,2,0,2.4824
20,CA-2014-143336,8/27/2014,09-01-2014,San Francisco,United States,Technology,Phones,TEC-PH-10001949,Cisco SPA 501G IP Phone,ZD-21925,Zuschuss Donatelli,Consumer,213.48,3,0.2,16.011
21,CA-2014-143336,8/27/2014,09-01-2014,San Francisco,United States,Office Supplies,Binders,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",ZD-21925,Zuschuss Donatelli,Consumer,22.72,4,0.2,7.384
22,CA-2016-137330,12-09-2016,12/13/2016,Fremont,United States,Office Supplies,Art,OFF-AR-10000246,Newell 318,KB-16585,Ken Black,Corporate,19.46,7,0,5.0596
23,CA-2016-137330,12-09-2016,12/13/2016,Fremont,United States,Office Supplies,Appliances,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",KB-16585,Ken Black,Corporate,60.34,7,0,15.6884
24,US-2017-156909,7/16/2017,7/18/2017,Philadelphia,United States,Furniture,Chairs,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",SF-20065,Sandra Flanagan,Consumer,71.372,2,0.3,-1.0196
25,CA-2015-106320,9/25/2015,9/30/2015,Orem,United States,Furniture,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,EB-13870,Emily Burns,Consumer,1044.63,3,0,240.2649
26,CA-2016-121755,1/16/2016,1/20/2016,Los Angeles,United States,Office Supplies,Binders,OFF-BI-10001634,Wilson Jones Active Use Binders,EH-13945,Eric Hoffmann,Consumer,11.648,2,0.2,4.2224
27,CA-2016-121755,1/16/2016,1/20/2016,Los Angeles,United States,Technology,Accessories,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,EH-13945,Eric Hoffmann,Consumer,90.57,3,0,11.7741
28,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Furniture,Bookcases,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",TB-21520,Tracy Blumstein,Consumer,3083.43,7,0.5,-1665.0522
29,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Office Supplies,Binders,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,TB-21520,Tracy Blumstein,Consumer,9.618,2,0.7,-7.0532
30,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Furniture,Furnishings,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",TB-21520,Tracy Blumstein,Consumer,124.2,3,0.2,15.525
31,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Office Supplies,Envelopes,OFF-EN-10001509,Poly String Tie Envelopes,TB-21520,Tracy Blumstein,Consumer,3.264,2,0.2,1.1016
32,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Office Supplies,Art,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",TB-21520,Tracy Blumstein,Consumer,86.304,6,0.2,9.7092
33,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Office Supplies,Binders,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",TB-21520,Tracy Blumstein,Consumer,6.858,6,0.7,-5.715
34,US-2015-150630,9/17/2015,9/21/2015,Philadelphia,United States,Office Supplies,Art,OFF-AR-10001683,Lumber Crayons,TB-21520,Tracy Blumstein,Consumer,15.76,2,0.2,3.546
